Year,Primary Enrollment,GDP_per_capita
2001,11430.0,4883.003024
2002,10984.0,4770.851894
2003,10460.0,4897.308367
2004,9872.0,5216.872434
2005,9441.0,5160.889141
2006,8912.0,5518.4232
2007,8643.0,5951.863413
2008,8369.0,6468.944767
2009,8231.0,6903.145806
2010,8138.0,6967.364955
2011,8138.0,7065.460372
2012,8144.0,6849.455933
2013,7851.0,7016.380071
2014,7695.0,7317.486143
2015,7535.0,7597.288894
2016,7323.0,8080.968623
2017,,7298.51458
2018,,7745.376963
2019,6144.0,8516.280039
2020,6185.0,7003.859021
